date,temp_mean_C,temp_max_C,temp_min_C,temp_range_C,flow_mean_cfs,flow_min_cfs,flow_max_cfs,flow_log_mean,temp_change_1d,flow_change_1d,day_of_year,month,n_obs
2024-07-31,12.905263157894737,14.0,12.5,1.5,204.93684210526317,202.0,208.0,5.327569530058707,-0.019736842105261942,-1.0319078947368325,213,7,95
2024-08-01,13.207368421052632,14.9,12.5,2.4000000000000004,203.3578947368421,202.0,205.0,5.31987284267163,0.30210526315789465,-1.578947368421069,214,8,95
2024-08-02,13.21875,14.4,12.6,1.8000000000000007,202.85416666666666,201.0,207.0,5.317404868922286,0.011381578947368354,-0.5037280701754412,215,8,96
2024-08-03,13.346315789473685,14.6,12.8,1.799999999999999,203.21052631578948,201.0,204.0,5.319151453450878,0.12756578947368524,0.3563596491228225,216,8,95
2024-08-04,13.238541666666668,14.0,12.9,1.0999999999999996,204.6875,201.0,216.0,5.326358026703558,-0.10777412280701704,1.4769736842105203,217,8,96
2024-08-05,13.947916666666666,15.8,13.0,2.8000000000000007,166.85416666666666,152.0,207.0,5.123095546869305,0.7093749999999979,-37.83333333333334,218,8,96
2024-08-06,13.545833333333334,14.0,13.2,0.8000000000000007,155.78125,152.0,162.0,5.054851521684526,-0.4020833333333318,-11.072916666666657,219,8,96
2024-08-07,13.586315789473685,14.2,13.2,1.0,161.90526315789472,159.0,165.0,5.0931688242198625,0.040482456140351175,6.124013157894723,220,8,95
2024-08-08,13.646315789473686,14.5,13.2,1.3000000000000007,159.9157894736842,159.0,162.0,5.0808811814004935,0.0600000000000005,-1.989473684210509,221,8,95
2024-08-09,14.345833333333333,15.2,13.4,1.799999999999999,167.92708333333334,159.0,186.0,5.129467162251538,0.6995175438596473,8.011293859649129,222,8,96
2024-08-10,14.866315789473683,16.6,13.7,2.900000000000002,170.3684210526316,162.0,184.0,5.1438157479559905,0.5204824561403498,2.4413377192982466,223,8,95
2024-08-11,14.30625,16.1,13.4,2.700000000000001,157.1875,154.0,162.0,5.0637810383053425,-0.5600657894736827,-13.18092105263159,224,8,96
2024-08-12,13.954166666666666,15.1,13.3,1.799999999999999,155.89583333333334,154.0,159.0,5.055582103193461,-0.35208333333333464,-1.2916666666666572,225,8,96
2024-08-13,14.277083333333332,16.4,13.3,3.099999999999998,155.05208333333334,152.0,157.0,5.050189819049546,0.3229166666666661,-0.84375,226,8,96
2024-08-14,14.06875,15.1,13.4,1.6999999999999993,154.09375,154.0,157.0,5.044029772787714,-0.20833333333333215,-0.9583333333333428,227,8,96
2024-08-15,14.416666666666666,16.2,13.5,2.6999999999999993,153.80208333333334,152.0,157.0,5.042147419290734,0.34791666666666643,-0.2916666666666572,228,8,96
2024-08-16,14.469791666666666,16.0,13.7,2.3000000000000007,153.9375,152.0,154.0,5.043021809795409,0.053124999999999645,0.1354166666666572,229,8,96
2024-08-17,14.59375,16.0,14.0,2.0,152.45833333333334,152.0,154.0,5.03342908609712,0.12395833333333428,-1.4791666666666572,230,8,96
2024-08-18,14.341052631578949,14.6,14.1,0.5,158.74736842105264,152.0,162.0,5.073593620014309,-0.2526973684210514,6.289035087719299,231,8,95
2024-08-19,14.859375,16.0,14.4,1.5999999999999996,165.9375,159.0,173.0,5.1176194908701795,0.5183223684210514,7.1901315789473585,232,8,96
2024-08-20,14.516666666666666,15.3,13.9,1.4000000000000004,164.10416666666666,162.0,167.0,5.106576587837591,-0.3427083333333343,-1.8333333333333428,233,8,96
2024-08-21,14.608333333333334,16.0,13.8,2.1999999999999993,162.75,159.0,165.0,5.098340874515361,0.09166666666666856,-1.3541666666666572,234,8,96
2024-08-22,14.758333333333333,15.8,13.9,1.9000000000000004,227.98958333333334,162.0,260.0,5.433676514892281,0.14999999999999858,65.23958333333334,235,8,96
2024-08-23,15.266666666666666,16.6,14.5,2.1000000000000014,254.90625,253.0,260.0,5.544811166470462,0.5083333333333329,26.916666666666657,236,8,96
2024-08-24,15.623958333333334,17.0,14.9,2.0999999999999996,253.40625,250.0,256.0,5.538932398774251,0.35729166666666856,-1.5,237,8,96
2024-08-25,15.864583333333334,16.9,15.2,1.6999999999999993,252.0,247.0,256.0,5.53338948872752,0.24062499999999964,-1.40625,238,8,96
2024-08-26,16.233333333333334,17.7,15.7,2.0,214.39583333333334,201.0,253.0,5.372477420678802,0.36875000000000036,-37.60416666666666,239,8,96
2024-08-27,16.583333333333332,18.0,15.8,2.1999999999999993,201.53125,198.0,204.0,5.31089419562799,0.34999999999999787,-12.864583333333343,240,8,96
2024-08-28,16.879166666666666,18.0,16.1,1.8999999999999986,199.9375,198.0,204.0,5.302993914431939,0.2958333333333343,-1.59375,241,8,96
2024-08-29,16.802083333333332,17.2,16.5,0.6999999999999993,200.375,198.0,201.0,5.305168841497139,-0.07708333333333428,0.4375,242,8,96
2024-08-30,17.145833333333332,18.2,16.6,1.5999999999999979,232.76041666666666,201.0,253.0,5.454296730455741,0.34375,32.38541666666666,243,8,96
2024-08-31,17.354166666666668,17.8,16.9,0.9000000000000021,252.0,250.0,253.0,5.53338948872752,0.2083333333333357,19.239583333333343,244,8,96
2024-09-01,17.84375,18.6,17.3,1.3000000000000007,250.96875,247.0,253.0,5.529305071885296,0.48958333333333215,-1.03125,245,9,96
2024-09-02,17.855208333333334,18.9,17.3,1.5999999999999979,249.21875,247.0,253.0,5.522335535272907,0.01145833333333357,-1.75,246,9,96
2024-09-03,17.755208333333332,19.6,16.1,3.5,133.584375,64.6,253.0,4.902191325776884,-0.10000000000000142,-115.634375,247,9,96
2024-09-04,17.860416666666666,20.8,16.0,4.800000000000001,65.10312499999999,64.6,66.7,4.191216022593378,0.10520833333333357,-68.48125,248,9,96
2024-09-05,17.927083333333332,20.8,16.2,4.600000000000001,65.16875,64.6,66.7,4.192208297109553,0.06666666666666643,0.06562500000001137,249,9,96
2024-09-06,18.058333333333334,19.5,16.6,2.8999999999999986,123.15520833333333,64.6,152.0,4.8215324630140755,0.13125000000000142,57.98645833333333,250,9,96
2024-09-07,18.161458333333332,18.9,17.6,1.2999999999999972,154.55208333333334,152.0,167.0,5.046980616589432,0.10312499999999858,31.39687500000001,251,9,96
2024-09-08,18.078125,19.7,17.4,2.3000000000000007,154.63541666666666,152.0,157.0,5.0475161993832485,-0.08333333333333215,0.08333333333331439,252,9,96
2024-09-09,18.407291666666666,20.5,17.3,3.1999999999999993,116.75,100.0,154.0,4.768563732896527,0.3291666666666657,-37.88541666666666,253,9,96
2024-09-10,18.39375,20.7,17.2,3.5,101.0,100.0,103.0,4.624972813284271,-0.013541666666665009,-15.75,254,9,96
2024-09-11,18.490624999999998,20.9,17.1,3.799999999999997,100.40625,100.0,103.0,4.619134726338464,0.09687499999999716,-0.59375,255,9,96
